Timestamp,Linea,Maquina,Salud,Tiempo_Ciclo,Evento
2026-03-05 20:15:31,1,Top cover feeding,96.89,105.85,OK
2026-03-05 20:15:31,1,Pre-weighing,97.27,80.9,OK
2026-03-05 20:15:31,1,Tim dispensing,98.68,83.19,OK
2026-03-05 20:15:31,1,Avl Tim,99.45,60.83,OK
2026-03-05 20:15:31,1,Weighing,96.98,82.93,OK
2026-03-05 20:15:31,1,Install PCB,97.35,88.42,OK
2026-03-05 20:15:31,1,Fastening 1,96.97,80.11,OK
2026-03-05 20:15:31,1,Fastening 2,99.09,92.41,OK
2026-03-05 20:15:31,1,Avl screw,98.29,70.44,OK
2026-03-05 20:15:31,1,Top unloader,98.91,104.59,OK
2026-03-05 20:15:31,2,Top cover feeding,98.51,106.45,OK
2026-03-05 20:15:31,2,Pre-weighing,96.89,79.65,OK
2026-03-05 20:15:31,2,Tim dispensing,98.71,84.15,OK
2026-03-05 20:15:31,2,Avl Tim,99.31,60.15,OK
2026-03-05 20:15:31,2,Weighing,96.34,82.93,OK
2026-03-05 20:15:31,2,Install PCB,97.9,88.78,OK
2026-03-05 20:15:31,2,Fastening 1,99.29,79.94,OK
2026-03-05 20:15:31,2,Fastening 2,98.32,93.02,OK
2026-03-05 20:15:31,2,Avl screw,97.93,69.3,OK
2026-03-05 20:15:31,2,Top unloader,97.0,104.75,OK
2026-03-05 20:15:32,1,Top cover feeding,96.95,105.36,OK
2026-03-05 20:15:32,1,Pre-weighing,96.99,80.11,OK
2026-03-05 20:15:32,1,Tim dispensing,98.5,84.97,OK
2026-03-05 20:15:32,1,Avl Tim,99.46,59.5,OK
2026-03-05 20:15:32,1,Weighing,97.47,83.5,OK
2026-03-05 20:15:32,1,Install PCB,97.73,88.22,OK
2026-03-05 20:15:32,1,Fastening 1,96.77,81.63,OK
2026-03-05 20:15:32,1,Fastening 2,99.08,93.91,OK
2026-03-05 20:15:32,1,Avl screw,98.34,69.76,OK
2026-03-05 20:15:32,1,Top unloader,99.06,104.64,OK
2026-03-05 20:15:32,2,Top cover feeding,98.54,104.49,OK
2026-03-05 20:15:32,2,Pre-weighing,96.65,79.43,OK
2026-03-05 20:15:32,2,Tim dispensing,98.55,82.41,OK
2026-03-05 20:15:32,2,Avl Tim,99.22,60.69,OK
2026-03-05 20:15:32,2,Weighing,96.61,82.06,OK
2026-03-05 20:15:32,2,Install PCB,98.05,88.07,OK
2026-03-05 20:15:32,2,Fastening 1,99.7,80.65,OK
2026-03-05 20:15:32,2,Fastening 2,98.09,92.76,OK
2026-03-05 20:15:32,2,Avl screw,97.65,69.66,OK
2026-03-05 20:15:32,2,Top unloader,97.03,104.0,OK
2026-03-05 20:15:33,1,Top cover feeding,96.83,105.66,OK
2026-03-05 20:15:33,1,Pre-weighing,97.01,79.26,OK
2026-03-05 20:15:33,1,Tim dispensing,98.35,83.43,OK
2026-03-05 20:15:33,1,Avl Tim,99.25,59.91,OK
2026-03-05 20:15:33,1,Weighing,97.68,83.54,OK
2026-03-05 20:15:33,1,Install PCB,97.63,88.11,OK
2026-03-05 20:15:33,1,Fastening 1,97.45,81.24,OK
2026-03-05 20:15:33,1,Fastening 2,99.27,92.8,OK
2026-03-05 20:15:33,1,Avl screw,98.38,69.58,OK
2026-03-05 20:15:33,1,Top unloader,99.35,103.65,OK
2026-03-05 20:15:33,2,Top cover feeding,98.57,104.93,OK
2026-03-05 20:15:33,2,Pre-weighing,96.63,79.96,OK
2026-03-05 20:15:33,2,Tim dispensing,98.64,82.79,OK
2026-03-05 20:15:33,2,Avl Tim,98.94,60.95,OK
2026-03-05 20:15:33,2,Weighing,96.65,82.82,OK
2026-03-05 20:15:33,2,Install PCB,98.21,88.53,OK
2026-03-05 20:15:33,2,Fastening 1,99.18,80.14,OK
2026-03-05 20:15:33,2,Fastening 2,98.31,92.02,OK
2026-03-05 20:15:33,2,Avl screw,97.42,70.61,OK
2026-03-05 20:15:33,2,Top unloader,96.68,105.02,OK
2026-03-05 20:15:34,1,Top cover feeding,97.11,105.27,OK
2026-03-05 20:15:34,1,Pre-weighing,97.45,79.59,OK
2026-03-05 20:15:34,1,Tim dispensing,98.47,83.57,OK
2026-03-05 20:15:34,1,Avl Tim,99.52,61.52,OK
