Timestamp,Linea,Maquina,Salud,Tiempo_Ciclo,Evento
2026-03-05 20:26:00,2,Top cover feeding,96.26,105.46,OK
2026-03-05 20:26:00,2,Pre-weighing,98.13,80.61,OK
2026-03-05 20:26:00,2,Tim dispensing,98.52,83.71,OK
2026-03-05 20:26:00,2,Avl Tim,98.07,60.77,OK
2026-03-05 20:26:00,2,Weighing,97.78,81.85,OK
2026-03-05 20:26:00,2,Install PCB,97.79,89.09,OK
2026-03-05 20:26:00,2,Fastening 1,98.27,79.79,OK
2026-03-05 20:26:00,2,Fastening 2,96.93,92.45,OK
2026-03-05 20:26:00,2,Avl screw,97.98,69.87,OK
2026-03-05 20:26:00,2,Top unloader,98.84,104.35,OK
2026-03-05 20:26:01,2,Top cover feeding,95.98,106.0,OK
2026-03-05 20:26:01,2,Pre-weighing,98.4,79.22,OK
2026-03-05 20:26:01,2,Tim dispensing,98.48,83.67,OK
2026-03-05 20:26:01,2,Avl Tim,98.06,60.61,OK
2026-03-05 20:26:01,2,Weighing,97.8,109.35,SPIKE
2026-03-05 20:26:01,2,Install PCB,97.65,88.26,OK
2026-03-05 20:26:01,2,Fastening 1,98.3,79.59,OK
2026-03-05 20:26:01,2,Fastening 2,96.94,92.9,OK
2026-03-05 20:26:01,2,Avl screw,97.86,69.35,OK
2026-03-05 20:26:01,2,Top unloader,98.66,105.07,OK
2026-03-05 20:26:02,2,Top cover feeding,96.15,105.63,OK
2026-03-05 20:26:02,2,Pre-weighing,98.54,81.12,OK
2026-03-05 20:26:02,2,Tim dispensing,98.61,84.23,OK
2026-03-05 20:26:02,2,Avl Tim,98.18,61.93,OK
2026-03-05 20:26:02,2,Weighing,97.8,83.55,OK
2026-03-05 20:26:02,2,Install PCB,97.83,88.68,OK
2026-03-05 20:26:02,2,Fastening 1,98.59,76.79,SPIKE
2026-03-05 20:26:02,2,Fastening 2,96.9,91.94,OK
2026-03-05 20:26:02,2,Avl screw,98.02,69.62,OK
2026-03-05 20:26:02,2,Top unloader,98.96,104.71,OK
2026-03-05 20:26:03,2,Top cover feeding,96.17,105.72,OK
2026-03-05 20:26:03,2,Pre-weighing,98.47,80.78,OK
2026-03-05 20:26:03,2,Tim dispensing,98.72,84.71,OK
2026-03-05 20:26:03,2,Avl Tim,97.81,62.05,OK
2026-03-05 20:26:03,2,Weighing,98.05,82.87,OK
2026-03-05 20:26:03,2,Install PCB,98.02,88.48,OK
2026-03-05 20:26:03,2,Fastening 1,98.7,81.11,OK
2026-03-05 20:26:03,2,Fastening 2,96.95,93.01,OK
2026-03-05 20:26:03,2,Avl screw,98.24,70.66,OK
2026-03-05 20:26:03,2,Top unloader,98.77,103.76,OK
2026-03-05 20:26:04,2,Top cover feeding,96.2,105.26,OK
2026-03-05 20:26:04,2,Pre-weighing,98.38,79.99,OK
2026-03-05 20:26:04,2,Tim dispensing,98.52,84.01,OK
2026-03-05 20:26:04,2,Avl Tim,97.69,61.72,OK
2026-03-05 20:26:04,2,Weighing,97.67,81.44,OK
2026-03-05 20:26:04,2,Install PCB,97.95,89.38,OK
2026-03-05 20:26:04,2,Fastening 1,98.89,81.51,OK
2026-03-05 20:26:04,2,Fastening 2,96.83,94.43,OK
2026-03-05 20:26:04,2,Avl screw,98.52,70.97,OK
2026-03-05 20:26:04,2,Top unloader,98.87,105.85,OK
2026-03-05 20:26:05,2,Top cover feeding,96.41,106.56,OK
2026-03-05 20:26:05,2,Pre-weighing,98.27,78.97,OK
2026-03-05 20:26:05,2,Tim dispensing,98.62,83.49,OK
2026-03-05 20:26:05,2,Avl Tim,97.47,61.27,OK
2026-03-05 20:26:05,2,Weighing,98.01,83.83,OK
2026-03-05 20:26:05,2,Install PCB,97.91,89.74,OK
2026-03-05 20:26:05,2,Fastening 1,98.76,80.25,OK
2026-03-05 20:26:05,2,Fastening 2,96.47,92.02,OK
2026-03-05 20:26:05,2,Avl screw,99.14,70.26,OK
2026-03-05 20:26:05,2,Top unloader,98.9,103.89,OK
2026-03-05 20:26:06,2,Top cover feeding,96.12,105.17,OK
2026-03-05 20:26:06,2,Pre-weighing,98.49,79.23,OK
2026-03-05 20:26:06,2,Tim dispensing,98.36,83.87,OK
2026-03-05 20:26:06,2,Avl Tim,97.14,59.86,OK
2026-03-05 20:26:06,2,Weighing,97.57,82.58,OK
2026-03-05 20:26:06,2,Install PCB,98.1,88.42,OK
2026-03-05 20:26:06,2,Fastening 1,98.44,80.94,OK
2026-03-05 20:26:06,2,Fastening 2,96.53,93.32,OK
2026-03-05 20:26:06,2,Avl screw,99.49,70.1,OK
2026-03-05 20:26:06,2,Top unloader,98.69,103.58,OK
2026-03-05 20:26:07,2,Top cover feeding,96.18,105.85,OK
2026-03-05 20:26:07,2,Pre-weighing,98.68,79.49,OK
2026-03-05 20:26:07,2,Tim dispensing,97.77,83.43,OK
2026-03-05 20:26:07,2,Avl Tim,97.16,61.11,OK
2026-03-05 20:26:07,2,Weighing,97.71,82.71,OK
2026-03-05 20:26:07,2,Install PCB,98.24,89.74,OK
2026-03-05 20:26:07,2,Fastening 1,98.74,80.31,OK
2026-03-05 20:26:07,2,Fastening 2,96.65,92.36,OK
2026-03-05 20:26:07,2,Avl screw,99.43,70.69,OK
2026-03-05 20:26:07,2,Top unloader,98.67,104.68,OK
2026-03-05 20:26:08,2,Top cover feeding,96.47,105.81,OK
2026-03-05 20:26:08,2,Pre-weighing,98.72,80.27,OK
2026-03-05 20:26:08,2,Tim dispensing,97.77,83.28,OK
2026-03-05 20:26:08,2,Avl Tim,97.4,66.41,SPIKE
2026-03-05 20:26:08,2,Weighing,98.38,83.39,OK
2026-03-05 20:26:08,2,Install PCB,98.28,89.18,OK
2026-03-05 20:26:08,2,Fastening 1,99.29,80.5,OK
2026-03-05 20:26:08,2,Fastening 2,96.46,93.46,OK
